"","DateTime","FW","WSSC","WA_GF","WA_LF","LW"
"1","2019-10-14 00:00:00",101.29,171.35,132.62,0,10.01
"2","2019-10-14 01:00:00",101.29,171.35,132.62,0,10.01
"3","2019-10-14 02:00:00",101.29,171.35,132.62,0,10.01
"4","2019-10-14 03:00:00",101.29,171.35,132.62,0,10.01
"5","2019-10-14 04:00:00",101.29,171.35,132.62,0,10.01
"6","2019-10-14 05:00:00",101.29,171.35,132.62,0,10.01
"7","2019-10-14 06:00:00",101.29,171.35,132.62,0,10.01
"8","2019-10-14 07:00:00",101.29,171.35,132.62,0,10.01
"9","2019-10-14 08:00:00",101.29,171.35,132.62,0,10.01
"10","2019-10-14 09:00:00",101.29,171.35,132.62,0,10.01
"11","2019-10-14 10:00:00",101.29,171.35,132.62,0,10.01
"12","2019-10-14 11:00:00",101.29,171.35,132.62,0,10.01
"13","2019-10-14 12:00:00",101.29,171.35,132.62,0,10.01
"14","2019-10-14 13:00:00",101.29,171.35,132.62,0,10.01
"15","2019-10-14 14:00:00",101.29,171.35,132.62,0,10.01
"16","2019-10-14 15:00:00",101.29,171.35,132.62,0,10.01
"17","2019-10-14 16:00:00",101.29,171.35,132.62,0,10.01
"18","2019-10-14 17:00:00",101.29,171.35,132.62,0,10.01
"19","2019-10-14 18:00:00",101.29,171.35,132.62,0,10.01
"20","2019-10-14 19:00:00",101.29,171.35,132.62,0,10.01
"21","2019-10-14 20:00:00",101.29,171.35,132.62,0,10.01
"22","2019-10-14 21:00:00",101.29,171.35,132.62,0,10.01
"23","2019-10-14 22:00:00",101.29,171.35,132.62,0,10.01
"24","2019-10-14 23:00:00",101.29,171.35,132.62,0,10.01
"25","2019-10-15 00:00:00",118.98,175.99,139.6,0,9.43
"26","2019-10-15 01:00:00",118.98,175.99,139.6,0,9.43
"27","2019-10-15 02:00:00",118.98,175.99,139.6,0,9.43
"28","2019-10-15 03:00:00",118.98,175.99,139.6,0,9.43
"29","2019-10-15 04:00:00",118.98,175.99,139.6,0,9.43
"30","2019-10-15 05:00:00",118.98,175.99,139.6,0,9.43
"31","2019-10-15 06:00:00",118.98,175.99,139.6,0,9.43
"32","2019-10-15 07:00:00",118.98,175.99,139.6,0,9.43
"33","2019-10-15 08:00:00",118.98,175.99,139.6,0,9.43
"34","2019-10-15 09:00:00",118.98,175.99,139.6,0,9.43
"35","2019-10-15 10:00:00",118.98,175.99,139.6,0,9.43
"36","2019-10-15 11:00:00",118.98,175.99,139.6,0,9.43
"37","2019-10-15 12:00:00",118.98,175.99,139.6,0,9.43
"38","2019-10-15 13:00:00",118.98,175.99,139.6,0,9.43
"39","2019-10-15 14:00:00",118.98,175.99,139.6,0,9.43
"40","2019-10-15 15:00:00",118.98,175.99,139.6,0,9.43
"41","2019-10-15 16:00:00",118.98,175.99,139.6,0,9.43
"42","2019-10-15 17:00:00",118.98,175.99,139.6,0,9.43
"43","2019-10-15 18:00:00",118.98,175.99,139.6,0,9.43
"44","2019-10-15 19:00:00",118.98,175.99,139.6,0,9.43
"45","2019-10-15 20:00:00",118.98,175.99,139.6,0,9.43
"46","2019-10-15 21:00:00",118.98,175.99,139.6,0,9.43
"47","2019-10-15 22:00:00",118.98,175.99,139.6,0,9.43
"48","2019-10-15 23:00:00",118.98,175.99,139.6,0,9.43
"49","2019-10-16 00:00:00",104.65,175.23,139.68,0,10.01
"50","2019-10-16 01:00:00",104.65,175.23,139.68,0,10.01
"51","2019-10-16 02:00:00",104.65,175.23,139.68,0,10.01
"52","2019-10-16 03:00:00",104.65,175.23,139.68,0,10.01
"53","2019-10-16 04:00:00",104.65,175.23,139.68,0,10.01
"54","2019-10-16 05:00:00",104.65,175.23,139.68,0,10.01
"55","2019-10-16 06:00:00",104.65,175.23,139.68,0,10.01
"56","2019-10-16 07:00:00",104.65,175.23,139.68,0,10.01
"57","2019-10-16 08:00:00",104.65,175.23,139.68,0,10.01
"58","2019-10-16 09:00:00",104.65,175.23,139.68,0,10.01
"59","2019-10-16 10:00:00",104.65,175.23,139.68,0,10.01
"60","2019-10-16 11:00:00",104.65,175.23,139.68,0,10.01
"61","2019-10-16 12:00:00",104.65,175.23,139.68,0,10.01
"62","2019-10-16 13:00:00",104.65,175.23,139.68,0,10.01
"63","2019-10-16 14:00:00",104.65,175.23,139.68,0,10.01
"64","2019-10-16 15:00:00",104.65,175.23,139.68,0,10.01
"65","2019-10-16 16:00:00",104.65,175.23,139.68,0,10.01
"66","2019-10-16 17:00:00",104.65,175.23,139.68,0,10.01
"67","2019-10-16 18:00:00",104.65,175.23,139.68,0,10.01
"68","2019-10-16 19:00:00",104.65,175.23,139.68,0,10.01
"69","2019-10-16 20:00:00",104.65,175.23,139.68,0,10.01
"70","2019-10-16 21:00:00",104.65,175.23,139.68,0,10.01
"71","2019-10-16 22:00:00",104.65,175.23,139.68,0,10.01
"72","2019-10-16 23:00:00",104.65,175.23,139.68,0,10.01
"73","2019-10-17 00:00:00",98.56,166.1,138.74,0,11.25
"74","2019-10-17 01:00:00",98.56,166.1,138.74,0,11.25
"75","2019-10-17 02:00:00",98.56,166.1,138.74,0,11.25
"76","2019-10-17 03:00:00",98.56,166.1,138.74,0,11.25
"77","2019-10-17 04:00:00",98.56,166.1,138.74,0,11.25
"78","2019-10-17 05:00:00",98.56,166.1,138.74,0,11.25
"79","2019-10-17 06:00:00",98.56,166.1,138.74,0,11.25
"80","2019-10-17 07:00:00",98.56,166.1,138.74,0,11.25
"81","2019-10-17 08:00:00",98.56,166.1,138.74,0,11.25
"82","2019-10-17 09:00:00",98.56,166.1,138.74,0,11.25
"83","2019-10-17 10:00:00",98.56,166.1,138.74,0,11.25
"84","2019-10-17 11:00:00",98.56,166.1,138.74,0,11.25
"85","2019-10-17 12:00:00",98.56,166.1,138.74,0,11.25
"86","2019-10-17 13:00:00",98.56,166.1,138.74,0,11.25
"87","2019-10-17 14:00:00",98.56,166.1,138.74,0,11.25
"88","2019-10-17 15:00:00",98.56,166.1,138.74,0,11.25
"89","2019-10-17 16:00:00",98.56,166.1,138.74,0,11.25
"90","2019-10-17 17:00:00",98.56,166.1,138.74,0,11.25
"91","2019-10-17 18:00:00",98.56,166.1,138.74,0,11.25
"92","2019-10-17 19:00:00",98.56,166.1,138.74,0,11.25
"93","2019-10-17 20:00:00",98.56,166.1,138.74,0,11.25
"94","2019-10-17 21:00:00",98.56,166.1,138.74,0,11.25
"95","2019-10-17 22:00:00",98.56,166.1,138.74,0,11.25
"96","2019-10-17 23:00:00",98.56,166.1,138.74,0,11.25
"97","2019-10-18 00:00:00",87.1,163.11,134.25,0,10.03
"98","2019-10-18 01:00:00",87.1,163.11,134.25,0,10.03
"99","2019-10-18 02:00:00",87.1,163.11,134.25,0,10.03
"100","2019-10-18 03:00:00",87.1,163.11,134.25,0,10.03
"101","2019-10-18 04:00:00",87.1,163.11,134.25,0,10.03
"102","2019-10-18 05:00:00",87.1,163.11,134.25,0,10.03
"103","2019-10-18 06:00:00",87.1,163.11,134.25,0,10.03
"104","2019-10-18 07:00:00",87.1,163.11,134.25,0,10.03
"105","2019-10-18 08:00:00",87.1,163.11,134.25,0,10.03
"106","2019-10-18 09:00:00",87.1,163.11,134.25,0,10.03
"107","2019-10-18 10:00:00",87.1,163.11,134.25,0,10.03
"108","2019-10-18 11:00:00",87.1,163.11,134.25,0,10.03
"109","2019-10-18 12:00:00",87.1,163.11,134.25,0,10.03
"110","2019-10-18 13:00:00",87.1,163.11,134.25,0,10.03
"111","2019-10-18 14:00:00",87.1,163.11,134.25,0,10.03
"112","2019-10-18 15:00:00",87.1,163.11,134.25,0,10.03
"113","2019-10-18 16:00:00",87.1,163.11,134.25,0,10.03
"114","2019-10-18 17:00:00",87.1,163.11,134.25,0,10.03
"115","2019-10-18 18:00:00",87.1,163.11,134.25,0,10.03
"116","2019-10-18 19:00:00",87.1,163.11,134.25,0,10.03
"117","2019-10-18 20:00:00",87.1,163.11,134.25,0,10.03
"118","2019-10-18 21:00:00",87.1,163.11,134.25,0,10.03
"119","2019-10-18 22:00:00",87.1,163.11,134.25,0,10.03
"120","2019-10-18 23:00:00",87.1,163.11,134.25,0,10.03
"121","2019-10-19 00:00:00",97.55,162.92,138.62,0,10.51
"122","2019-10-19 01:00:00",97.55,162.92,138.62,0,10.51
"123","2019-10-19 02:00:00",97.55,162.92,138.62,0,10.51
"124","2019-10-19 03:00:00",97.55,162.92,138.62,0,10.51
"125","2019-10-19 04:00:00",97.55,162.92,138.62,0,10.51
"126","2019-10-19 05:00:00",97.55,162.92,138.62,0,10.51
"127","2019-10-19 06:00:00",97.55,162.92,138.62,0,10.51
"128","2019-10-19 07:00:00",97.55,162.92,138.62,0,10.51
"129","2019-10-19 08:00:00",97.55,162.92,138.62,0,10.51
"130","2019-10-19 09:00:00",97.55,162.92,138.62,0,10.51
"131","2019-10-19 10:00:00",97.55,162.92,138.62,0,10.51
"132","2019-10-19 11:00:00",97.55,162.92,138.62,0,10.51
"133","2019-10-19 12:00:00",97.55,162.92,138.62,0,10.51
"134","2019-10-19 13:00:00",97.55,162.92,138.62,0,10.51
"135","2019-10-19 14:00:00",97.55,162.92,138.62,0,10.51
"136","2019-10-19 15:00:00",97.55,162.92,138.62,0,10.51
"137","2019-10-19 16:00:00",97.55,162.92,138.62,0,10.51
"138","2019-10-19 17:00:00",97.55,162.92,138.62,0,10.51
"139","2019-10-19 18:00:00",97.55,162.92,138.62,0,10.51
"140","2019-10-19 19:00:00",97.55,162.92,138.62,0,10.51
"141","2019-10-19 20:00:00",97.55,162.92,138.62,0,10.51
"142","2019-10-19 21:00:00",97.55,162.92,138.62,0,10.51
"143","2019-10-19 22:00:00",97.55,162.92,138.62,0,10.51
"144","2019-10-19 23:00:00",97.55,162.92,138.62,0,10.51
"145","2019-10-20 00:00:00",85.17,156.54,128.53,0,10.23
"146","2019-10-20 01:00:00",85.17,156.54,128.53,0,10.23
"147","2019-10-20 02:00:00",85.17,156.54,128.53,0,10.23
"148","2019-10-20 03:00:00",85.17,156.54,128.53,0,10.23
"149","2019-10-20 04:00:00",85.17,156.54,128.53,0,10.23
"150","2019-10-20 05:00:00",85.17,156.54,128.53,0,10.23
"151","2019-10-20 06:00:00",85.17,156.54,128.53,0,10.23
"152","2019-10-20 07:00:00",85.17,156.54,128.53,0,10.23
"153","2019-10-20 08:00:00",85.17,156.54,128.53,0,10.23
"154","2019-10-20 09:00:00",85.17,156.54,128.53,0,10.23
"155","2019-10-20 10:00:00",85.17,156.54,128.53,0,10.23
"156","2019-10-20 11:00:00",85.17,156.54,128.53,0,10.23
"157","2019-10-20 12:00:00",85.17,156.54,128.53,0,10.23
"158","2019-10-20 13:00:00",85.17,156.54,128.53,0,10.23
"159","2019-10-20 14:00:00",85.17,156.54,128.53,0,10.23
"160","2019-10-20 15:00:00",85.17,156.54,128.53,0,10.23
"161","2019-10-20 16:00:00",85.17,156.54,128.53,0,10.23
"162","2019-10-20 17:00:00",85.17,156.54,128.53,0,10.23
"163","2019-10-20 18:00:00",85.17,156.54,128.53,0,10.23
"164","2019-10-20 19:00:00",85.17,156.54,128.53,0,10.23
"165","2019-10-20 20:00:00",85.17,156.54,128.53,0,10.23
"166","2019-10-20 21:00:00",85.17,156.54,128.53,0,10.23
"167","2019-10-20 22:00:00",85.17,156.54,128.53,0,10.23
"168","2019-10-20 23:00:00",85.17,156.54,128.53,0,10.23
"169","2019-10-21 00:00:00",87.88,167.84,122.19,0,10
"170","2019-10-21 01:00:00",87.88,167.84,122.19,0,10
"171","2019-10-21 02:00:00",87.88,167.84,122.19,0,10
"172","2019-10-21 03:00:00",87.88,167.84,122.19,0,10
"173","2019-10-21 04:00:00",87.88,167.84,122.19,0,10
"174","2019-10-21 05:00:00",87.88,167.84,122.19,0,10
"175","2019-10-21 06:00:00",87.88,167.84,122.19,0,10
"176","2019-10-21 07:00:00",87.88,167.84,122.19,0,10
"177","2019-10-21 08:00:00",87.88,167.84,122.19,0,10
"178","2019-10-21 09:00:00",87.88,167.84,122.19,0,10
"179","2019-10-21 10:00:00",87.88,167.84,122.19,0,10
"180","2019-10-21 11:00:00",87.88,167.84,122.19,0,10
"181","2019-10-21 12:00:00",87.88,167.84,122.19,0,10
"182","2019-10-21 13:00:00",87.88,167.84,122.19,0,10
"183","2019-10-21 14:00:00",87.88,167.84,122.19,0,10
"184","2019-10-21 15:00:00",87.88,167.84,122.19,0,10
"185","2019-10-21 16:00:00",87.88,167.84,122.19,0,10
"186","2019-10-21 17:00:00",87.88,167.84,122.19,0,10
"187","2019-10-21 18:00:00",87.88,167.84,122.19,0,10
"188","2019-10-21 19:00:00",87.88,167.84,122.19,0,10
"189","2019-10-21 20:00:00",87.88,167.84,122.19,0,10
"190","2019-10-21 21:00:00",87.88,167.84,122.19,0,10
"191","2019-10-21 22:00:00",87.88,167.84,122.19,0,10
"192","2019-10-21 23:00:00",87.88,167.84,122.19,0,10
"193","2019-10-22 00:00:00",80.53,165.55,131.58,0,9.86
"194","2019-10-22 01:00:00",80.53,165.55,131.58,0,9.86
"195","2019-10-22 02:00:00",80.53,165.55,131.58,0,9.86
"196","2019-10-22 03:00:00",80.53,165.55,131.58,0,9.86
"197","2019-10-22 04:00:00",80.53,165.55,131.58,0,9.86
"198","2019-10-22 05:00:00",80.53,165.55,131.58,0,9.86
"199","2019-10-22 06:00:00",80.53,165.55,131.58,0,9.86
"200","2019-10-22 07:00:00",80.53,165.55,131.58,0,9.86
"201","2019-10-22 08:00:00",80.53,165.55,131.58,0,9.86
"202","2019-10-22 09:00:00",80.53,165.55,131.58,0,9.86
"203","2019-10-22 10:00:00",80.53,165.55,131.58,0,9.86
"204","2019-10-22 11:00:00",80.53,165.55,131.58,0,9.86
"205","2019-10-22 12:00:00",80.53,165.55,131.58,0,9.86
"206","2019-10-22 13:00:00",80.53,165.55,131.58,0,9.86
"207","2019-10-22 14:00:00",80.53,165.55,131.58,0,9.86
"208","2019-10-22 15:00:00",80.53,165.55,131.58,0,9.86
"209","2019-10-22 16:00:00",80.53,165.55,131.58,0,9.86
"210","2019-10-22 17:00:00",80.53,165.55,131.58,0,9.86
"211","2019-10-22 18:00:00",80.53,165.55,131.58,0,9.86
"212","2019-10-22 19:00:00",80.53,165.55,131.58,0,9.86
"213","2019-10-22 20:00:00",80.53,165.55,131.58,0,9.86
"214","2019-10-22 21:00:00",80.53,165.55,131.58,0,9.86
"215","2019-10-22 22:00:00",80.53,165.55,131.58,0,9.86
"216","2019-10-22 23:00:00",80.53,165.55,131.58,0,9.86
"217","2019-10-23 00:00:00",78.01,152.86,129.09,0,10.11
"218","2019-10-23 01:00:00",78.01,152.86,129.09,0,10.11
"219","2019-10-23 02:00:00",78.01,152.86,129.09,0,10.11
"220","2019-10-23 03:00:00",78.01,152.86,129.09,0,10.11
"221","2019-10-23 04:00:00",78.01,152.86,129.09,0,10.11
"222","2019-10-23 05:00:00",78.01,152.86,129.09,0,10.11
"223","2019-10-23 06:00:00",78.01,152.86,129.09,0,10.11
"224","2019-10-23 07:00:00",78.01,152.86,129.09,0,10.11
"225","2019-10-23 08:00:00",78.01,152.86,129.09,0,10.11
"226","2019-10-23 09:00:00",78.01,152.86,129.09,0,10.11
"227","2019-10-23 10:00:00",78.01,152.86,129.09,0,10.11
"228","2019-10-23 11:00:00",78.01,152.86,129.09,0,10.11
"229","2019-10-23 12:00:00",78.01,152.86,129.09,0,10.11
"230","2019-10-23 13:00:00",78.01,152.86,129.09,0,10.11
"231","2019-10-23 14:00:00",78.01,152.86,129.09,0,10.11
"232","2019-10-23 15:00:00",78.01,152.86,129.09,0,10.11
"233","2019-10-23 16:00:00",78.01,152.86,129.09,0,10.11
"234","2019-10-23 17:00:00",78.01,152.86,129.09,0,10.11
"235","2019-10-23 18:00:00",78.01,152.86,129.09,0,10.11
"236","2019-10-23 19:00:00",78.01,152.86,129.09,0,10.11
"237","2019-10-23 20:00:00",78.01,152.86,129.09,0,10.11
"238","2019-10-23 21:00:00",78.01,152.86,129.09,0,10.11
"239","2019-10-23 22:00:00",78.01,152.86,129.09,0,10.11
"240","2019-10-23 23:00:00",78.01,152.86,129.09,0,10.11
"241","2019-10-24 00:00:00",79.4,152.03,132.37,0,10.45
"242","2019-10-24 01:00:00",79.4,152.03,132.37,0,10.45
"243","2019-10-24 02:00:00",79.4,152.03,132.37,0,10.45
"244","2019-10-24 03:00:00",79.4,152.03,132.37,0,10.45
"245","2019-10-24 04:00:00",79.4,152.03,132.37,0,10.45
"246","2019-10-24 05:00:00",79.4,152.03,132.37,0,10.45
"247","2019-10-24 06:00:00",79.4,152.03,132.37,0,10.45
"248","2019-10-24 07:00:00",79.4,152.03,132.37,0,10.45
"249","2019-10-24 08:00:00",79.4,152.03,132.37,0,10.45
"250","2019-10-24 09:00:00",79.4,152.03,132.37,0,10.45
"251","2019-10-24 10:00:00",79.4,152.03,132.37,0,10.45
"252","2019-10-24 11:00:00",79.4,152.03,132.37,0,10.45
"253","2019-10-24 12:00:00",79.4,152.03,132.37,0,10.45
"254","2019-10-24 13:00:00",79.4,152.03,132.37,0,10.45
"255","2019-10-24 14:00:00",79.4,152.03,132.37,0,10.45
"256","2019-10-24 15:00:00",79.4,152.03,132.37,0,10.45
"257","2019-10-24 16:00:00",79.4,152.03,132.37,0,10.45
"258","2019-10-24 17:00:00",79.4,152.03,132.37,0,10.45
"259","2019-10-24 18:00:00",79.4,152.03,132.37,0,10.45
"260","2019-10-24 19:00:00",79.4,152.03,132.37,0,10.45
"261","2019-10-24 20:00:00",79.4,152.03,132.37,0,10.45
"262","2019-10-24 21:00:00",79.4,152.03,132.37,0,10.45
"263","2019-10-24 22:00:00",79.4,152.03,132.37,0,10.45
"264","2019-10-24 23:00:00",79.4,152.03,132.37,0,10.45
"265","2019-10-25 00:00:00",83.82,157.12,136.18,0,10.87
"266","2019-10-25 01:00:00",83.82,157.12,136.18,0,10.87
"267","2019-10-25 02:00:00",83.82,157.12,136.18,0,10.87
"268","2019-10-25 03:00:00",83.82,157.12,136.18,0,10.87
"269","2019-10-25 04:00:00",83.82,157.12,136.18,0,10.87
"270","2019-10-25 05:00:00",83.82,157.12,136.18,0,10.87
"271","2019-10-25 06:00:00",83.82,157.12,136.18,0,10.87
"272","2019-10-25 07:00:00",83.82,157.12,136.18,0,10.87
"273","2019-10-25 08:00:00",83.82,157.12,136.18,0,10.87
"274","2019-10-25 09:00:00",83.82,157.12,136.18,0,10.87
"275","2019-10-25 10:00:00",83.82,157.12,136.18,0,10.87
"276","2019-10-25 11:00:00",83.82,157.12,136.18,0,10.87
"277","2019-10-25 12:00:00",83.82,157.12,136.18,0,10.87
"278","2019-10-25 13:00:00",83.82,157.12,136.18,0,10.87
"279","2019-10-25 14:00:00",83.82,157.12,136.18,0,10.87
"280","2019-10-25 15:00:00",83.82,157.12,136.18,0,10.87
"281","2019-10-25 16:00:00",83.82,157.12,136.18,0,10.87
"282","2019-10-25 17:00:00",83.82,157.12,136.18,0,10.87
"283","2019-10-25 18:00:00",83.82,157.12,136.18,0,10.87
"284","2019-10-25 19:00:00",83.82,157.12,136.18,0,10.87
"285","2019-10-25 20:00:00",83.82,157.12,136.18,0,10.87
"286","2019-10-25 21:00:00",83.82,157.12,136.18,0,10.87
"287","2019-10-25 22:00:00",83.82,157.12,136.18,0,10.87
"288","2019-10-25 23:00:00",83.82,157.12,136.18,0,10.87
"289","2019-10-26 00:00:00",83.29,158.61,119.99,0,10.3
"290","2019-10-26 01:00:00",83.29,158.61,119.99,0,10.3
"291","2019-10-26 02:00:00",83.29,158.61,119.99,0,10.3
"292","2019-10-26 03:00:00",83.29,158.61,119.99,0,10.3
"293","2019-10-26 04:00:00",83.29,158.61,119.99,0,10.3
"294","2019-10-26 05:00:00",83.29,158.61,119.99,0,10.3
"295","2019-10-26 06:00:00",83.29,158.61,119.99,0,10.3
"296","2019-10-26 07:00:00",83.29,158.61,119.99,0,10.3
"297","2019-10-26 08:00:00",83.29,158.61,119.99,0,10.3
"298","2019-10-26 09:00:00",83.29,158.61,119.99,0,10.3
"299","2019-10-26 10:00:00",83.29,158.61,119.99,0,10.3
"300","2019-10-26 11:00:00",83.29,158.61,119.99,0,10.3
"301","2019-10-26 12:00:00",83.29,158.61,119.99,0,10.3
"302","2019-10-26 13:00:00",83.29,158.61,119.99,0,10.3
"303","2019-10-26 14:00:00",83.29,158.61,119.99,0,10.3
"304","2019-10-26 15:00:00",83.29,158.61,119.99,0,10.3
"305","2019-10-26 16:00:00",83.29,158.61,119.99,0,10.3
"306","2019-10-26 17:00:00",83.29,158.61,119.99,0,10.3
"307","2019-10-26 18:00:00",83.29,158.61,119.99,0,10.3
"308","2019-10-26 19:00:00",83.29,158.61,119.99,0,10.3
"309","2019-10-26 20:00:00",83.29,158.61,119.99,0,10.3
"310","2019-10-26 21:00:00",83.29,158.61,119.99,0,10.3
"311","2019-10-26 22:00:00",83.29,158.61,119.99,0,10.3
"312","2019-10-26 23:00:00",83.29,158.61,119.99,0,10.3
"313","2019-10-27 00:00:00",80.96,162.48,128.64,0,10.32
"314","2019-10-27 01:00:00",80.96,162.48,128.64,0,10.32
"315","2019-10-27 02:00:00",80.96,162.48,128.64,0,10.32
"316","2019-10-27 03:00:00",80.96,162.48,128.64,0,10.32
"317","2019-10-27 04:00:00",80.96,162.48,128.64,0,10.32
"318","2019-10-27 05:00:00",80.96,162.48,128.64,0,10.32
"319","2019-10-27 06:00:00",80.96,162.48,128.64,0,10.32
"320","2019-10-27 07:00:00",80.96,162.48,128.64,0,10.32
"321","2019-10-27 08:00:00",80.96,162.48,128.64,0,10.32
"322","2019-10-27 09:00:00",80.96,162.48,128.64,0,10.32
"323","2019-10-27 10:00:00",80.96,162.48,128.64,0,10.32
"324","2019-10-27 11:00:00",80.96,162.48,128.64,0,10.32
"325","2019-10-27 12:00:00",80.96,162.48,128.64,0,10.32
"326","2019-10-27 13:00:00",80.96,162.48,128.64,0,10.32
"327","2019-10-27 14:00:00",80.96,162.48,128.64,0,10.32
"328","2019-10-27 15:00:00",80.96,162.48,128.64,0,10.32
"329","2019-10-27 16:00:00",80.96,162.48,128.64,0,10.32
"330","2019-10-27 17:00:00",80.96,162.48,128.64,0,10.32
"331","2019-10-27 18:00:00",80.96,162.48,128.64,0,10.32
"332","2019-10-27 19:00:00",80.96,162.48,128.64,0,10.32
"333","2019-10-27 20:00:00",80.96,162.48,128.64,0,10.32
"334","2019-10-27 21:00:00",80.96,162.48,128.64,0,10.32
"335","2019-10-27 22:00:00",80.96,162.48,128.64,0,10.32
"336","2019-10-27 23:00:00",80.96,162.48,128.64,0,10.32
"337","2019-10-28 00:00:00",87.59,156.59,120.71,0,10.34
"338","2019-10-28 01:00:00",87.59,156.59,120.71,0,10.34
"339","2019-10-28 02:00:00",87.59,156.59,120.71,0,10.34
"340","2019-10-28 03:00:00",87.59,156.59,120.71,0,10.34
"341","2019-10-28 04:00:00",87.59,156.59,120.71,0,10.34
"342","2019-10-28 05:00:00",87.59,156.59,120.71,0,10.34
"343","2019-10-28 06:00:00",87.59,156.59,120.71,0,10.34
"344","2019-10-28 07:00:00",87.59,156.59,120.71,0,10.34
"345","2019-10-28 08:00:00",87.59,156.59,120.71,0,10.34
"346","2019-10-28 09:00:00",87.59,156.59,120.71,0,10.34
"347","2019-10-28 10:00:00",87.59,156.59,120.71,0,10.34
"348","2019-10-28 11:00:00",87.59,156.59,120.71,0,10.34
"349","2019-10-28 12:00:00",87.59,156.59,120.71,0,10.34
"350","2019-10-28 13:00:00",87.59,156.59,120.71,0,10.34
"351","2019-10-28 14:00:00",87.59,156.59,120.71,0,10.34
"352","2019-10-28 15:00:00",87.59,156.59,120.71,0,10.34
"353","2019-10-28 16:00:00",87.59,156.59,120.71,0,10.34
"354","2019-10-28 17:00:00",87.59,156.59,120.71,0,10.34
"355","2019-10-28 18:00:00",87.59,156.59,120.71,0,10.34
"356","2019-10-28 19:00:00",87.59,156.59,120.71,0,10.34
"357","2019-10-28 20:00:00",87.59,156.59,120.71,0,10.34
"358","2019-10-28 21:00:00",87.59,156.59,120.71,0,10.34
"359","2019-10-28 22:00:00",87.59,156.59,120.71,0,10.34
"360","2019-10-28 23:00:00",87.59,156.59,120.71,0,10.34
"361","2019-10-29 00:00:00",84.24,166.93,126.66,0,9.84
"362","2019-10-29 01:00:00",84.24,166.93,126.66,0,9.84
"363","2019-10-29 02:00:00",84.24,166.93,126.66,0,9.84
"364","2019-10-29 03:00:00",84.24,166.93,126.66,0,9.84
"365","2019-10-29 04:00:00",84.24,166.93,126.66,0,9.84
"366","2019-10-29 05:00:00",84.24,166.93,126.66,0,9.84
"367","2019-10-29 06:00:00",84.24,166.93,126.66,0,9.84
"368","2019-10-29 07:00:00",84.24,166.93,126.66,0,9.84
"369","2019-10-29 08:00:00",84.24,166.93,126.66,0,9.84
"370","2019-10-29 09:00:00",84.24,166.93,126.66,0,9.84
"371","2019-10-29 10:00:00",84.24,166.93,126.66,0,9.84
"372","2019-10-29 11:00:00",84.24,166.93,126.66,0,9.84
"373","2019-10-29 12:00:00",84.24,166.93,126.66,0,9.84
"374","2019-10-29 13:00:00",84.24,166.93,126.66,0,9.84
"375","2019-10-29 14:00:00",84.24,166.93,126.66,0,9.84
"376","2019-10-29 15:00:00",84.24,166.93,126.66,0,9.84
"377","2019-10-29 16:00:00",84.24,166.93,126.66,0,9.84
"378","2019-10-29 17:00:00",84.24,166.93,126.66,0,9.84
"379","2019-10-29 18:00:00",84.24,166.93,126.66,0,9.84
"380","2019-10-29 19:00:00",84.24,166.93,126.66,0,9.84
"381","2019-10-29 20:00:00",84.24,166.93,126.66,0,9.84
"382","2019-10-29 21:00:00",84.24,166.93,126.66,0,9.84
"383","2019-10-29 22:00:00",84.24,166.93,126.66,0,9.84
"384","2019-10-29 23:00:00",84.24,166.93,126.66,0,9.84
"385","2019-10-30 00:00:00",82.31,169.55,135.15,0,9.58
"386","2019-10-30 01:00:00",82.31,169.55,135.15,0,9.58
"387","2019-10-30 02:00:00",82.31,169.55,135.15,0,9.58
"388","2019-10-30 03:00:00",82.31,169.55,135.15,0,9.58
"389","2019-10-30 04:00:00",82.31,169.55,135.15,0,9.58
"390","2019-10-30 05:00:00",82.31,169.55,135.15,0,9.58
"391","2019-10-30 06:00:00",82.31,169.55,135.15,0,9.58
"392","2019-10-30 07:00:00",82.31,169.55,135.15,0,9.58
"393","2019-10-30 08:00:00",82.31,169.55,135.15,0,9.58
"394","2019-10-30 09:00:00",82.31,169.55,135.15,0,9.58
"395","2019-10-30 10:00:00",82.31,169.55,135.15,0,9.58
"396","2019-10-30 11:00:00",82.31,169.55,135.15,0,9.58
"397","2019-10-30 12:00:00",82.31,169.55,135.15,0,9.58
"398","2019-10-30 13:00:00",82.31,169.55,135.15,0,9.58
"399","2019-10-30 14:00:00",82.31,169.55,135.15,0,9.58
"400","2019-10-30 15:00:00",82.31,169.55,135.15,0,9.58
"401","2019-10-30 16:00:00",82.31,169.55,135.15,0,9.58
"402","2019-10-30 17:00:00",82.31,169.55,135.15,0,9.58
"403","2019-10-30 18:00:00",82.31,169.55,135.15,0,9.58
"404","2019-10-30 19:00:00",82.31,169.55,135.15,0,9.58
"405","2019-10-30 20:00:00",82.31,169.55,135.15,0,9.58
"406","2019-10-30 21:00:00",82.31,169.55,135.15,0,9.58
"407","2019-10-30 22:00:00",82.31,169.55,135.15,0,9.58
"408","2019-10-30 23:00:00",82.31,169.55,135.15,0,9.58
"409","2019-10-31 00:00:00",83.27,159.57,122.07,0,9.99
"410","2019-10-31 01:00:00",83.27,159.57,122.07,0,9.99
"411","2019-10-31 02:00:00",83.27,159.57,122.07,0,9.99
"412","2019-10-31 03:00:00",83.27,159.57,122.07,0,9.99
